Player1,Player2,Flags Remaining,Winner
"[1, 1, 2, 1, 2, 1]","[3, 2, 3, 2, 3]","[17, 14, 9, 6, 1]",Player1
"[1, 2, 2, 2, 3, 1]","[2, 2, 2, 1, 3]","[18, 14, 10, 7, 1]",Player1
"[1, 2, 1, 2, 1, 1]","[2, 3, 2, 3, 3]","[18, 13, 10, 5, 1]",Player1
"[1, 3, 1, 2, 3, 2]","[1, 3, 2, 1, 2]","[19, 13, 10, 7, 2]",Player1
"[1, 2, 2, 2, 3, 2]","[2, 2, 2, 1, 2]","[18, 14, 10, 7, 2]",Player1
"[1, 1, 2, 2, 2, 1]","[3, 2, 2, 2, 3]","[17, 14, 10, 6, 1]",Player1
"[1, 3, 2, 2, 3, 3]","[1, 2, 2, 1, 1]","[19, 14, 10, 7, 3]",Player1
"[1, 2, 2, 2, 1, 1]","[2, 2, 2, 3, 3]","[18, 14, 10, 5, 1]",Player1
"[1, 3, 2, 3, 1, 2]","[1, 2, 1, 3, 2]","[19, 14, 11, 5, 2]",Player1
"[1, 1, 3, 1, 2, 2]","[3, 1, 3, 2, 2]","[17, 15, 9, 6, 2]",Player1
